county,med_yr_moved_inraw,med_house_income,fam_house_per,age_u18,bach
Worcester County,2004,105735,0.797066014669927,0.2340239912759,0.324730480235217
Worcester County,2003,69625,0.697782963827305,0.181062355658199,0.261670761670762
Worcester County,2007,70679,0.658917544496912,0.170594188231892,0.266771591579776
Worcester County,2006,74528,0.656706045865184,0.203352569387194,0.231242785686803
Worcester County,2006,52885,0.530954428202923,0.177110100810437,0.168471085291788
Worcester County,2000,64100,0.664895635673624,0.162846803377563,0.192420435510888
Worcester County,2011,37093,0.632128514056225,0.190549248235655,0.101210653753027
Worcester County,2006,87750,0.636138613861386,0.202193609918932,0.271604938271605
Worcester County,2004,97417,0.757602085143354,0.18786313750807,0.283966797728266
Worcester County,2004,67121,0.651545036160421,0.179242785279322,0.236728837876614
Worcester County,2006,40635,0.522955837341495,0.21432720232333,0.178700864231949
Worcester County,2011,63991,0.498771498771499,0.147435897435897,0.164102564102564
Worcester County,2005,91469,0.713240186294078,0.225388939730684,0.304590459045905
Worcester County,2001,80234,0.661835748792271,0.201130475741875,0.203215434083601
Worcester County,2011,31465,0.505711318795431,0.189351851851852,0.104926423544466
Worcester County,2006,53654,0.69969040247678,0.156741573033708,0.153022188217291
Worcester County,2007,110765,0.749546279491833,0.248391379838627,0.312306438467808
Hampshire County,2000,58953,0.613989637305699,0.160158460667799,0.232019115890084
Hampshire County,1999,89752,0.710707070707071,0.182177904400127,0.235008445945946
Hampshire County,2004,74635,0.556343019135365,0.189240851993446,0.208424110384895
Hampshire County,2008,68155,0.53723034098817,0.170245795601552,0.313432835820896
Hampshire County,1996,92250,0.694656488549618,0.18167580266249,0.253623188405797
Hampden County,2005,41563,0.604014598540146,0.256524981357196,0.0797266514806378
Hampden County,2001,60482,0.693032015065913,0.189932236205228,0.0826880530973451
Hampden County,2000,74357,0.744762569832402,0.183273530223572,0.182933630786392
Hampden County,2005,50900,0.527272727272727,0.203056768558952,0.196712328767123
Hampden County,2006,46221,0.61127774445111,0.228718199608611,0.122241086587436
Hampden County,2001,66338,0.778141361256545,0.196144829382652,0.232111071555714
Hampden County,2007,63903,0.678287230011368,0.210768787791535,0.087719298245614
Hampden County,2011,26615,0.483682983682984,0.234383066597832,0.0763528539659007
Hampden County,1996,70076,0.677777777777778,0.189130434782609,0.247805734347572
Hampden County,2001,77829,0.630967741935484,0.232954545454545,0.236567164179104
Hampden County,2004,37935,0.668613707165109,0.226167179200447,0.0674230853152957
Hampden County,2009,19548,0.658284977433914,0.301710002342469,0.0502040816326531
Hampden County,2005,53859,0.580182529335072,0.253114100647733,0.0877598152424942
Hampden County,2003,51393,0.627082213863514,0.227969702567892,0.116393948749614
Hampden County,2004,34821,0.784390791690062,0.320422535211268,0.167842031029619
Hampden County,2005,34697,0.679122664500406,0.251279511309229,0.0629425649095201
Hampden County,2010,50880,0.733067729083665,0.289801627670397,0.0852598091198303
Hampden County,2000,75991,0.701064701064701,0.164191152728447,0.121421107628004
Hampden County,2004,55188,0.556627516778524,0.169797817140812,0.149082568807339
Hampden County,2004,80887,0.667328042328042,0.168743228602384,0.228783592644979
Hampden County,1995,99167,0.856521739130435,0.209745762711864,0.236035279294414
Hampden County,2003,75714,0.675429726996967,0.189996267263904,0.184300341296928
