county,hs_grad,bach,master,commute_less10,commute1030,commute3060,commute6090,commute_over90,by_auto,by_pub_trans,by_bike,by_walk,med_house_income
MIDDLESEX,0.389231956773447,0.187765341566963,0.100347356233115,0.0915601023017903,0.356777493606138,0.375447570332481,0.134015345268542,0.0421994884910486,0.856726566294318,0.046138902379796,0,0.0160271976687712,75085
MIDDLESEX,0.166798418972332,0.400395256916996,0.130434782608696,0.0947893569844789,0.445121951219512,0.343680709534368,0.0886917960088692,0.0277161862527716,0.861942257217848,0.047244094488189,0.005249343832021,0.0146981627296588,132727
MIDDLESEX,0.184339786188963,0.316671482230569,0.138977174227102,0.072041166380789,0.404373927958834,0.382075471698113,0.0969125214408233,0.0445969125214408,0.888322884012539,0.0219435736677116,0,0,110694
MIDDLESEX,0.257725832012678,0.321909667194929,0.144215530903328,0.0983297413793103,0.390086206896552,0.379310344827586,0.0942887931034483,0.0379849137931034,0.884336099585062,0.0474585062240664,0,0.0241182572614108,109125
MIDDLESEX,0.301463082681184,0.176930928887377,0.0741748894181695,0.0670103092783505,0.379100281162137,0.364573570759138,0.141986879100281,0.0473289597000937,0.967371323529412,0.00505514705882353,0,0.00459558823529412,76746
MIDDLESEX,0.159224176815516,0.309878213802436,0.20658547586829001,0.0573248407643312,0.452808338158657,0.352055587724378,0.105385060799074,0.0324261725535611,0.905167820990943,0.00958977091102824,0,0.0053276505061268,138700
MIDDLESEX,0.268331990330379,0.247381144238517,0.14867042707494,0.0791139240506329,0.474683544303797,0.367616033755274,0.0690928270042194,0.00949367088607595,0.934979838709677,0.014616935483871,0.00604838709677419,0,104673
MIDDLESEX,0.261239035087719,0.299890350877193,0.126370614035088,0.137026239067055,0.449812578092462,0.336526447313619,0.0649729279466889,0.0116618075801749,0.915247364152474,0.0381184103811841,0,0.016220600162206,73191
MIDDLESEX,0.315461684267533,0.197671269970214,0.139994584348768,0.0752282027069563,0.478438778722065,0.328611898016997,0.0947434686811457,0.022977651872836,0.912938331318017,0.0281136638452237,0,0.00483675937122128,121488
MIDDLESEX,0.150654036986919,0.348067959705307,0.150804390317246,0.0830332556661724,0.474263927134082,0.3223893242957,0.0891760220292311,0.0311374708748147,0.9064496187925,0.0286420770657325,0,0.0245209148980012,99358
MIDDLESEX,0.371685201026518,0.191189050470488,0.0727117194183062,0.0875776397515528,0.363975155279503,0.326086956521739,0.154658385093168,0.0677018633540373,0.922759433962264,0.00825471698113208,0,0.0153301886792453,95833
MIDDLESEX,0.335620052770449,0.134036939313984,0.0870712401055409,0.155339805825243,0.44774414620217,0.270702455739577,0.0879497430039977,0.038263849229012,0.67836919592299,0.0481313703284258,0.00396375990939977,0.2480181200453,53722
MIDDLESEX,0.347964884277733,0.128757648310721,0.0891194466613461,0.0811006517016655,0.549239681390297,0.31643736422882,0.0416364952932657,0.0115858073859522,0.896651062297443,0.0532949225783219,0,0.0396110911055095,62634
MIDDLESEX,0.431484502446982,0.108482871125612,0.0391517128874388,0.0766182298546896,0.606340819022457,0.277851166886834,0.0246587406428886,0.0145310435931308,0.824185248713551,0.0626072041166381,0.00300171526586621,0.0728987993138936,38514
MIDDLESEX,0.290709290709291,0.123376623376623,0.04995004995005,0.0229007633587786,0.603053435114504,0.366412213740458,0.00763358778625954,0,0.898454746136865,0.0183958793230316,0.00367917586460633,0.0213392200147167,41996
MIDDLESEX,0.259691732835124,0.259691732835124,0.0714619336758524,0.0420531849103278,0.482993197278912,0.340136054421769,0.116264687693259,0.0185528756957328,0.919699595609474,0.00519930675909879,0.00519930675909879,0.00404390525707683,125595
MIDDLESEX,0.303780964797914,0.234028683181226,0.0886571056062582,0.0441666666666667,0.385833333333333,0.445833333333333,0.107083333333333,0.0170833333333333,0.910846343467543,0.0608052588331964,0,0,104025
MIDDLESEX,0.352790376651548,0.216919739696312,0.0873594951686058,0.0890052356020942,0.45607911576498,0.339441535776614,0.0779522978475858,0.037521815008726,0.926324737886087,0.0368376310569566,0,0.0028336639274582,95714
MIDDLESEX,0.129529362765514,0.348604748021658,0.235735110370679,0.138736659936545,0.340928756850303,0.389962503605423,0.0856648399192385,0.0447072396884915,0.897186147186147,0.0270562770562771,0,0.00974025974025974,144766
MIDDLESEX,0.256809338521401,0.250108084738435,0.103112840466926,0.122443261417764,0.452227514710003,0.256374334547492,0.156906696553656,0.0120481927710843,0.883256942572122,0.0490698301428957,0,0.0242653006201132,90748
MIDDLESEX,0.142214957090315,0.378831221904373,0.221291377196567,0.113020833333333,0.363020833333333,0.326822916666667,0.175,0.0221354166666667,0.808819906380882,0.116777531411678,0,0.0152746982015275,128688
MIDDLESEX,0.0635897435897436,0.321367521367521,0.291282051282051,0.0492476060191518,0.386456908344733,0.444596443228454,0.115595075239398,0.00410396716826265,0.730522945570971,0.0400213447171825,0,0.0096051227321238,210357
MIDDLESEX,0.123094512195122,0.397103658536585,0.221608231707317,0.0559475806451613,0.423387096774194,0.365423387096774,0.155241935483871,0,0.870540987479329,0.0524450744153083,0.00968580203165604,0,141574
MIDDLESEX,0.228450555261766,0.296668429402433,0.115811739820201,0.108893557422969,0.445378151260504,0.334383753501401,0.0899859943977591,0.0213585434173669,0.866074478988726,0.106252135292108,0.00307482063546293,0,100417
MIDDLESEX,0.0483870967741935,0.276740237691002,0.335597057159027,0.0997658079625293,0.420140515222482,0.384543325526932,0.082903981264637,0.0126463700234192,0.814830330959363,0.0460829493087558,0.0167574361122748,0.012987012987013,173000
