listing_id,date
3781,2019-02-22
3781,2019-12-21
5506,2019-02-18
5506,2019-03-17
5506,2019-03-30
5506,2019-04-08
5506,2019-04-15
5506,2019-05-05
5506,2019-05-12
5506,2019-05-17
5506,2019-05-27
5506,2019-06-02
5506,2019-06-16
5506,2019-06-20
5506,2019-06-23
5506,2019-06-25
5506,2019-07-01
5506,2019-07-11
5506,2019-07-27
5506,2019-08-17
5506,2019-08-21
5506,2019-08-25
5506,2019-09-03
5506,2019-09-13
5506,2019-09-26
5506,2019-10-12
5506,2019-10-15
5506,2019-10-31
6695,2019-04-13
6695,2019-04-18
6695,2019-04-22
6695,2019-04-25
6695,2019-05-02
6695,2019-05-05
6695,2019-05-16
6695,2019-05-21
6695,2019-05-26
6695,2019-05-28
6695,2019-06-01
6695,2019-06-11
6695,2019-06-14
6695,2019-06-19
6695,2019-06-23
6695,2019-06-26
6695,2019-06-27
6695,2019-07-15
6695,2019-07-23
6695,2019-08-08
6695,2019-08-25
6695,2019-08-28
6695,2019-09-11
6695,2019-09-18
6695,2019-09-22
6695,2019-09-25
6695,2019-10-05
6695,2019-10-22
6695,2019-10-26
6695,2019-11-02
8789,2019-05-31
8789,2019-09-30
10730,2019-03-22
10730,2019-05-14
10730,2019-09-14
10730,2019-12-01
10813,2019-01-12
10813,2019-01-19
10813,2019-02-20
10813,2019-03-17
10813,2019-03-17
10813,2019-04-10
10813,2019-04-15
10813,2019-04-17
10813,2019-04-24
10813,2019-04-24
10813,2019-05-15
10813,2019-06-13
10813,2019-06-14
10813,2019-06-22
10813,2019-07-02
10813,2019-07-03
10813,2019-10-09
10813,2019-10-12
10813,2019-10-13
10813,2019-10-13
10813,2019-10-13
10813,2019-11-06
10813,2019-11-30
10813,2019-11-30
10813,2019-12-12
10813,2019-12-12
10813,2019-12-18
10813,2019-12-21
10813,2020-01-04
10813,2020-01-08
10813,2020-01-11
10813,2020-01-11
10813,2020-02-01
10813,2020-03-04
10813,2020-03-08
18711,2019-03-08
18711,2019-03-14
18711,2019-03-20
18711,2019-04-01
18711,2019-04-29
18711,2019-05-19
18711,2019-05-21
18711,2019-08-11
18711,2019-10-05
22195,2019-12-22
22195,2019-12-28
22195,2019-12-29
22195,2019-12-30
22195,2020-01-01
22195,2020-01-01
22195,2020-01-07
22195,2020-01-12
22195,2020-01-19
22195,2020-01-25
22195,2020-02-08
22354,2019-03-17
22354,2019-03-31
22354,2019-04-10
22354,2019-04-28
22354,2019-05-03
22354,2019-05-12
22354,2019-05-23
22354,2019-06-08
22354,2019-06-12
22354,2019-06-14
22354,2019-07-19
22354,2019-08-07
22354,2019-08-15
22354,2019-08-22
22354,2019-09-07
22354,2019-09-20
22354,2019-09-27
22354,2019-10-11
22354,2019-10-20
22354,2019-10-27
22354,2019-11-04
22354,2019-11-12
22354,2019-12-13
24240,2019-05-05
24240,2019-05-09
24240,2019-05-15
24240,2019-05-18
24240,2019-05-21
24240,2019-05-25
24240,2019-05-27
24240,2019-06-14
24240,2019-07-07
24240,2019-07-14
24240,2019-07-28
24240,2019-07-30
24240,2019-08-03
24240,2019-08-15
24240,2019-08-24
24240,2019-09-02
24240,2019-09-09
24240,2019-09-20
24240,2019-09-28
24240,2019-09-29
24240,2019-10-03
40601,2019-03-11
40601,2019-10-25
40601,2019-11-04
45987,2019-03-20
45987,2019-04-01
45987,2019-04-05
45987,2019-04-16
45987,2019-05-05
45987,2019-05-20
45987,2019-06-08
45987,2019-06-17
45987,2019-06-24
45987,2019-08-03
45987,2019-08-14
45987,2019-09-02
45987,2019-09-06
45987,2019-09-14
45987,2019-09-20
45987,2019-09-29
45987,2019-10-11
45987,2019-10-27
45987,2019-11-02
45987,2019-12-10
60029,2019-03-19
60029,2019-04-01
60029,2019-04-18
60029,2019-05-20
60029,2019-05-27
60029,2019-06-03
60029,2019-06-07
60029,2019-06-17
60029,2019-07-14
60029,2019-08-13
69369,2019-04-16
69369,2019-05-12
69369,2019-05-27
69369,2019-06-16
69369,2019-06-27
69369,2019-09-16
69369,2019-09-21
69369,2019-10-11
69369,2019-10-13
69369,2019-10-19
69369,2019-10-24
69369,2019-10-26
69369,2019-11-02
69369,2019-11-09
69369,2019-11-15
77681,2019-04-16
77681,2019-05-05
77681,2019-05-19
77681,2019-07-15
77681,2019-07-29
77681,2019-08-16
77681,2019-09-19
77681,2019-09-21
77681,2019-09-27
77681,2019-10-04
77681,2019-10-06
77681,2019-10-15
77681,2019-10-20
77681,2019-10-24
77681,2019-10-27
77681,2019-10-30
77681,2019-11-02
95453,2019-05-05
95453,2019-05-12
95453,2019-05-22
95453,2019-06-22
95453,2019-06-29
95453,2019-07-20
95453,2019-07-26
95453,2019-08-23
95453,2019-10-13
163941,2019-04-16
163941,2019-04-20
163941,2019-05-01
163941,2019-05-04
163941,2019-05-12
163941,2019-05-16
163941,2019-05-20
163941,2019-05-27
