id,neighborhood,room_type,price,minimum_nights,availability_365,host_id
41938564,Downtown,Entire home/apt,131,2,217,331132678
41938877,Downtown,Entire home/apt,195,2,230,331132678
41939062,Downtown,Entire home/apt,131,2,225,331132678
41949115,Back Bay,Entire home/apt,99,1,279,331225367
41949153,Allston,Entire home/apt,399,1,110,8441226
41949812,Mission Hill,Entire home/apt,115,365,270,331970881
41953305,Brighton,Entire home/apt,183,92,305,107434423
41953347,Back Bay,Entire home/apt,185,92,324,107434423
41953381,Back Bay,Entire home/apt,216,92,359,107434423
41963633,Roslindale,Entire home/apt,169,3,138,5618949
41973451,Downtown,Private room,155,2,162,331132678
41974765,Downtown,Entire home/apt,155,2,155,331132678
41979766,Downtown,Entire home/apt,175,2,169,331132678
41983369,Back Bay,Entire home/apt,99,1,343,331225367
41984661,Roxbury,Private room,45,2,71,332400026
41993659,Charlestown,Private room,35,91,261,25064382
42001730,Roxbury,Private room,100,1,358,272001812
42004292,Roxbury,Entire home/apt,125,1,362,272001812
42035561,South End,Private room,64,180,180,13192257
42038575,Downtown,Private room,155,2,167,331132678
42039168,Jamaica Plain,Entire home/apt,500,10,312,312045025
42039593,Jamaica Plain,Entire home/apt,650,10,336,312045025
42042625,Jamaica Plain,Entire home/apt,650,10,344,312045025
42050854,Roxbury,Entire home/apt,200,1,362,272001812
42063286,Downtown,Entire home/apt,175,2,0,331132678
42065304,Charlestown,Private room,265,1,139,92691757
42074896,Dorchester,Entire home/apt,225,2,295,333626600
42080145,Beacon Hill,Entire home/apt,169,32,311,107434423
42080174,Downtown,Entire home/apt,175,32,333,107434423
42080205,Downtown,Entire home/apt,210,32,361,107434423
42089034,Charlestown,Entire home/apt,157,32,359,107434423
42089063,Charlestown,Entire home/apt,157,32,343,107434423
42092767,Jamaica Plain,Entire home/apt,179,1,170,102875095
42098275,Jamaica Plain,Entire home/apt,190,2,66,46926631
42124026,Roxbury,Private room,100,1,362,272001812
42124028,Roxbury,Entire home/apt,125,1,362,272001812
42135694,North End,Entire home/apt,99,1,162,328488585
42140453,Downtown,Entire home/apt,399,1,58,212359760
42182620,Jamaica Plain,Shared room,80,1,270,333874959
42194923,South Boston Waterfront,Entire home/apt,188,32,338,107434423
42194967,South Boston Waterfront,Entire home/apt,238,32,335,107434423
42195053,Beacon Hill,Entire home/apt,177,32,333,107434423
42195093,Brighton,Entire home/apt,188,32,278,107434423
42195138,Brighton,Entire home/apt,171,32,326,107434423
42195180,Brighton,Entire home/apt,153,32,362,107434423
42197186,South Boston,Private room,50,182,365,36122298
42198261,Downtown,Private room,150,2,0,331132678
42199169,Downtown,Private room,125,2,0,331132678
42206566,Charlestown,Entire home/apt,175,1,23,9059896
42206911,Jamaica Plain,Entire home/apt,249,1,192,102875095
42221902,Roslindale,Entire home/apt,300,2,12,15830734
