id,neighborhood,room_type,price,longitude,latitude
1682936,Roxbury,Entire home/apt,150,-71.09458,42.32371
1692573,Jamaica Plain,Entire home/apt,145,-71.11719,42.31338
1721016,Roslindale,Entire home/apt,78,-71.13236,42.28607
1724900,Roslindale,Entire home/apt,110,-71.13268,42.28291
1732804,Dorchester,Private room,70,-71.05853,42.29041
1754939,Jamaica Plain,Entire home/apt,165,-71.10086,42.31227
1757417,West Roxbury,Private room,60,-71.14423,42.2779
1810172,Roslindale,Private room,67,-71.13335,42.28209
1810397,South End,Entire home/apt,890,-71.0711,42.34279
1815326,Brighton,Private room,99,-71.16242,42.35509
1819994,Fenway,Entire home/apt,265,-71.09265,42.34947
1821633,Dorchester,Private room,100,-71.04792,42.30958
1863443,Fenway,Entire home/apt,213,-71.1013,42.34411
1867834,West End,Entire home/apt,293,-71.06926,42.36422
1867881,West End,Entire home/apt,312,-71.06827,42.36429
1868004,West End,Entire home/apt,217,-71.06827,42.36429
1868124,Chinatown,Entire home/apt,244,-71.06261,42.35193
1881298,Jamaica Plain,Entire home/apt,130,-71.11181,42.30026
1885386,Jamaica Plain,Private room,85,-71.11726,42.30847
1885825,Jamaica Plain,Private room,70,-71.1172,42.3088
1886037,Beacon Hill,Entire home/apt,230,-71.07141,42.36056
1887507,South Boston,Private room,125,-71.05117,42.34066
1935042,Beacon Hill,Private room,110,-71.06618,42.35706
1944976,Dorchester,Private room,76,-71.04613,42.31161
1960407,Beacon Hill,Private room,135,-71.06749,42.3568
1966195,Downtown,Entire home/apt,312,-71.06321,42.3509
2000797,Dorchester,Private room,70,-71.06115,42.31502
2014651,Jamaica Plain,Private room,120,-71.10582,42.30711
2014882,Brighton,Private room,70,-71.15717,42.34126
2021483,South Boston,Entire home/apt,500,-71.04741,42.33535
2021489,South Boston,Private room,200,-71.04933,42.33323
2022303,South Boston,Entire home/apt,350,-71.05274,42.34179
2108738,Back Bay,Entire home/apt,150,-71.08894,42.35046
2126053,Beacon Hill,Entire home/apt,165,-71.07147,42.35672
2141306,Downtown,Entire home/apt,300,-71.06011,42.35447
2183058,North End,Entire home/apt,195,-71.05452,42.36429
2183117,Allston,Entire home/apt,125,-71.13347,42.35159
2187640,Chinatown,Entire home/apt,220,-71.06236,42.35136
2187766,Chinatown,Entire home/apt,312,-71.06261,42.35193
2215762,South End,Entire home/apt,140,-71.07305,42.34303
2219399,Jamaica Plain,Private room,112,-71.11431,42.30073
2256444,Jamaica Plain,Entire home/apt,230,-71.1171,42.30942
2277821,Back Bay,Entire home/apt,425,-71.08418,42.34877
2278704,Mattapan,Private room,57,-71.09514,42.28192
2292495,South End,Entire home/apt,175,-71.07572,42.34032
2378421,Jamaica Plain,Entire home/apt,135,-71.11864,42.31144
2395326,South End,Entire home/apt,119,-71.07169,42.34568
2495047,South End,Entire home/apt,115,-71.07316,42.34309
2526773,Brighton,Entire home/apt,52,-71.1563,42.3438
2583074,Roslindale,Private room,40,-71.13606,42.27965
2658094,North End,Entire home/apt,299,-71.05271,42.36597
2672058,Allston,Private room,85,-71.13227,42.35322
2701124,Back Bay,Entire home/apt,280,-71.08601,42.34507
2723274,Bay Village,Entire home/apt,200,-71.07043,42.34868
2737853,South End,Entire home/apt,160,-71.07211,42.34322
2747654,Downtown,Entire home/apt,175,-71.065,42.35033
2754975,Beacon Hill,Entire home/apt,150,-71.06366,42.35757
2794782,Dorchester,Private room,65,-71.07116,42.28284
2798599,Charlestown,Private room,139,-71.06016,42.37407
2798787,Jamaica Plain,Private room,75,-71.10541,42.32451
2811937,Dorchester,Private room,65,-71.06912,42.28439
2843445,Roslindale,Private room,85,-71.14102,42.28195
2846739,South End,Private room,140,-71.07364,42.34623
2881388,Back Bay,Entire home/apt,695,-71.08418,42.34877
2886933,Hyde Park,Entire home/apt,249,-71.11989,42.26118
